ID	A1_1	L1_2	L1_3	L1_4	M1_1	M1_2	M1_3	M1_4	M2_1	M2_2	M2_3	A1_2	M2_4	M3_1	M3_2	M3_3	M3_4	M4_1	M4_2	M4_3	M4_4	M5_1	A1_3	M5_2	M5_3	M5_4	S_1	S_2	S_3	S_4	A1_4	A2_1	A2_2	A2_3	A2_4	L1_1
3875c79adb8c19b325f6d85eef46f7f0	46.0	45.0	52.0	19.0	34.0	21.0	19.0	20.0	22.0	29.0	15.0	29.0	0.0	25.0	23.0	18.0	75.0	61.0	33.0	25.0	37.0	18.0	34.0	23.0	0.0	32.0	0.0	0.0	0.0	0.0	43.0	17.0	7.0	17.0	17.0	25.0
a0d1008053ba9317cce7528f052c3f36	66.0	0.0	0.0	0.0	18.0	37.0	0.0	0.0	25.0	0.0	30.0	74.0	0.0	17.0	22.0	53.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	102.0	36.0	87.0	0.0	97.0	0.0	0.0	70.0	19.0	0.0	68.0	0.0	21.0
599842b9d84444328248516a83a271bc	41.0	33.0	34.0	39.0	18.0	0.0	22.0	0.0	21.0	20.0	18.0	34.0	14.0	35.0	31.0	22.0	29.0	30.0	46.0	17.0	32.0	43.0	30.0	32.0	29.0	32.0	0.0	0.0	0.0	0.0	14.0	29.0	40.0	18.0	19.0	50.0
d24018b3ae4d5d561b4e32e99fa7dfb9	0.0	111.0	37.0	28.0	0.0	0.0	22.0	24.0	0.0	0.0	21.0	0.0	53.0	27.0	31.0	94.0	26.0	37.0	17.0	20.0	38.0	39.0	0.0	26.0	81.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	0.0	0.0	46.0
ed05b40c33ef178c7102a73da5b4d924	0.0	55.0	0.0	42.0	62.0	0.0	36.0	17.0	16.0	64.0	20.0	0.0	0.0	16.0	24.0	31.0	14.0	0.0	30.0	16.0	53.0	17.0	40.0	24.0	23.0	0.0	0.0	0.0	0.0	0.0	26.0	76.0	43.0	102.0	0.0	22.0
6b76345f3a0fe6e3ca8e868d923988d4	0.0	21.0	34.0	31.0	28.0	56.0	25.0	48.0	35.0	24.0	17.0	29.0	55.0	25.0	23.0	32.0	37.0	46.0	29.0	27.0	35.0	13.0	0.0	23.0	33.0	28.0	0.0	0.0	0.0	0.0	0.0	23.0	21.0	20.0	13.0	32.0
535e4166706096e4da681d87c4251bd3	0.0	8.0	0.0	104.0	18.0	0.0	0.0	0.0	0.0	26.0	0.0	60.0	0.0	120.0	0.0	0.0	0.0	0.0	100.0	132.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.0	0.0	0.0	99.0
1df15ccd1fd028352d6533cf8a3a4d66	21.0	45.0	32.0	29.0	26.0	18.0	11.0	27.0	25.0	25.0	23.0	27.0	13.0	14.0	22.0	27.0	48.0	36.0	32.0	22.0	45.0	11.0	27.0	25.0	21.0	29.0	0.0	0.0	0.0	0.0	28.0	34.0	43.0	31.0	19.0	17.0
403544da6d02ce2c72fc875403c2d21c	0.0	19.0	12.0	40.0	18.0	42.0	21.0	0.0	16.0	27.0	46.0	26.0	31.0	59.0	32.0	19.0	27.0	29.0	27.0	21.0	22.0	17.0	56.0	56.0	32.0	15.0	0.0	0.0	0.0	0.0	19.0	20.0	42.0	19.0	16.0	21.0
8cb3f2ed201faf95d3a8ad54800e0e14	41.0	28.0	28.0	30.0	33.0	60.0	34.0	0.0	17.0	15.0	47.0	21.0	35.0	15.0	14.0	22.0	29.0	24.0	26.0	21.0	28.0	32.0	24.0	19.0	22.0	38.0	0.0	0.0	0.0	0.0	25.0	27.0	31.0	18.0	20.0	20.0
e28717bcdf6d0474e3c1c5846e72edfa	0.0	0.0	0.0	0.0	7.0	85.0	31.0	0.0	155.0	0.0	0.0	19.0	69.0	26.0	35.0	15.0	24.0	31.0	88.0	25.0	0.0	72.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	111.0
00ea3d206e49e1ef5941bae741c40b06	18.0	14.0	17.0	0.0	22.0	0.0	25.0	17.0	27.0	19.0	9.0	27.0	19.0	19.0	9.0	20.0	14.0	26.0	20.0	32.0	21.0	0.0	14.0	60.0	113.0	14.0	39.0	0.0	55.0	0.0	18.0	36.0	31.0	23.0	14.0	30.0
dabe8c9618e2cd34edb1c64fe2e52250	18.0	28.0	30.0	27.0	23.0	0.0	21.0	0.0	29.0	34.0	13.0	37.0	15.0	21.0	21.0	30.0	40.0	31.0	52.0	24.0	38.0	42.0	41.0	22.0	17.0	21.0	0.0	0.0	0.0	0.0	11.0	26.0	36.0	22.0	16.0	34.0
9c5f1ce67092e8925459f8da554e1ec8	23.0	29.0	22.0	35.0	19.0	44.0	25.0	0.0	27.0	28.0	0.0	0.0	17.0	33.0	24.0	36.0	47.0	34.0	0.0	44.0	47.0	35.0	34.0	0.0	36.0	14.0	0.0	0.0	0.0	0.0	36.0	34.0	22.0	25.0	25.0	23.0
6f6647a3589e74cf10f652900211011f	0.0	128.0	175.0	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	180.0	0.0	0.0	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	187.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
