	A1_1	A1_2	A1_3	A1_4	A2_1	A2_2	A2_3	A2_4	L1_1	L1_2	L1_3	L1_4	M1_1	M1_2	M1_3	M1_4	M2_1	M2_2	M2_3	M2_4	M3_1	M3_2	M3_3	M3_4	M4_1	M4_2	M4_3	M4_4	M5_1	M5_2	M5_3	M5_4	S_1	S_2	S_3	S_4
ASV145	16	67	16	14	33	31	24	75	0	77	86	0	19	0	0	0	0	70	37	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV146	0	0	0	0	26	0	65	0	19	0	0	0	51	46	32	0	13	0	14	0	36	0	0	0	0	0	32	92	0	0	28	0	0	0	0	134
ASV147	0	0	0	0	0	87	0	37	0	0	0	86	0	0	0	78	0	0	0	55	67	0	0	0	0	0	0	104	0	0	73	0	0	0	0	0
ASV148	0	5	11	0	12	10	22	4	16	24	37	11	7	37	41	22	13	9	21	18	15	9	14	13	27	43	17	47	20	18	11	30	0	0	0	0
ASV149	0	0	0	0	0	0	0	0	114	0	74	0	0	0	74	69	0	0	0	103	96	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0
ASV150	0	0	0	0	0	0	0	0	48	0	26	33	0	0	26	14	0	0	23	58	29	31	0	18	19	33	27	12	29	30	80	44	0	0	0	0
ASV151	0	0	0	46	0	0	0	0	40	0	0	79	0	0	44	0	0	0	0	0	68	0	0	94	0	0	69	0	29	98	13	0	0	0	0	0
ASV152	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	284	0	0
ASV153	0	15	53	13	15	21	15	30	0	20	0	29	8	0	0	0	0	43	15	18	14	0	31	27	24	29	25	19	0	86	18	11	0	0	0	0
ASV154	0	0	0	0	0	0	53	0	0	0	0	53	129	0	0	25	57	59	0	0	0	53	0	32	0	0	0	0	64	0	53	0	0	0	0	0
ASV155	0	0	48	13	0	25	0	0	0	49	0	33	0	101	0	11	26	0	50	0	11	20	39	18	47	0	33	0	19	17	17	0	0	0	0	0
ASV156	15	29	17	11	28	36	18	0	36	18	14	0	33	0	44	19	22	21	13	17	56	0	23	31	0	0	47	0	0	0	0	18	0	0	0	0
ASV157	0	14	0	0	27	0	52	0	15	72	24	36	29	0	21	0	0	86	15	0	18	0	19	57	15	0	28	0	0	0	38	0	0	0	0	0
ASV158	0	0	0	0	94	0	99	0	0	0	0	97	0	0	0	0	0	0	0	70	0	85	38	0	0	0	0	0	0	0	0	0	0	82	0	0
ASV159	8	19	18	12	17	24	10	17	14	37	14	9	33	12	15	0	17	15	0	23	13	25	30	21	35	26	18	27	21	12	9	13	0	0	0	0
ASV160	0	17	0	0	30	47	58	19	31	27	0	0	20	0	0	0	11	0	87	89	0	0	0	16	0	39	0	28	14	0	0	31	0	0	0	0
ASV161	0	0	0	140	0	0	0	0	0	0	0	0	51	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0
ASV162	0	8	0	0	27	39	73	38	13	30	0	0	29	0	0	0	13	46	0	0	0	56	79	29	0	64	0	8	11	0	0	0	0	0	0	0
ASV163	0	0	0	80	0	0	0	0	79	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	60	0	0	70	136	0	40	0
ASV164	0	40	0	0	0	0	61	0	0	0	0	98	69	0	0	0	67	0	0	0	0	82	0	21	0	0	0	13	0	20	89	0	0	0	0	0
ASV165	0	9	52	13	18	17	18	25	0	13	0	41	22	0	0	0	0	17	14	28	20	72	27	33	12	17	32	15	0	0	14	30	0	0	0	0
ASV166	0	10	60	0	28	16	0	21	52	17	0	22	0	74	0	57	0	34	0	25	0	0	0	22	31	32	22	0	34	0	0	0	0	0	0	0
ASV167	0	0	0	0	0	0	0	67	51	0	0	36	0	51	70	0	0	0	0	0	0	59	44	0	0	0	73	0	26	0	19	0	61	0	0	0
ASV168	0	56	0	0	109	0	0	0	51	0	129	0	0	0	0	0	92	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78
ASV169	0	14	40	0	0	23	19	5	30	16	33	28	31	23	12	0	27	0	32	15	13	21	22	16	24	19	21	17	16	0	12	24	0	0	0	0
ASV170	0	22	0	0	23	11	40	0	0	31	0	0	31	0	0	0	25	0	31	25	18	0	0	0	27	27	30	48	25	0	0	34	52	18	0	31
